task_id;group;row_count;participant_count;task_count;group_count;TTU_total;TTU_average;DOU_total;DOU_average;TTU_count;TTU_participant_totals;DOU_count;DOU_participant_totals
3;Formula construction;7;7;1;1;225;32.142857142857146;6.8;0.9714285714285714;7;"[[""F"", ""p01"", 64.0], [""F"", ""p21"", 84.0], [""F"", ""p26"", 7.0], [""F"", ""p27"", 27.0], [""F"", ""p31"", 21.0], [""F"", ""p33"", 10.0], [""F"", ""p34"", 12.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 0.8], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
3;Static sketch construction;7;7;1;1;108;15.428571428571429;7.0;1.0;7;"[[""S"", ""p02"", 10.0], [""S"", ""p09"", 23.0], [""S"", ""p11"", 10.0], [""S"", ""p14"", 13.0], [""S"", ""p15"", 21.0], [""S"", ""p28"", 18.0], [""S"", ""p30"", 13.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
4;Dynamic sketch construction;7;7;1;1;204;29.142857142857142;7.0;1.0;7;"[[""D"", ""p03"", 20.0], [""D"", ""p04"", 18.0], [""D"", ""p05"", 29.0], [""D"", ""p06"", 35.0], [""D"", ""p07"", 35.0], [""D"", ""p20"", 29.0], [""D"", ""p38"", 38.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
4;Formula construction;7;7;1;1;215;30.714285714285715;7.0;1.0;7;"[[""F"", ""p01"", 52.0], [""F"", ""p21"", 35.0], [""F"", ""p26"", 20.0], [""F"", ""p27"", 37.0], [""F"", ""p31"", 20.0], [""F"", ""p33"", 11.0], [""F"", ""p34"", 40.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
4;Static sketch construction;7;7;1;1;138;19.714285714285715;7.0;1.0;7;"[[""S"", ""p02"", 18.0], [""S"", ""p09"", 40.0], [""S"", ""p11"", 9.0], [""S"", ""p14"", 23.0], [""S"", ""p15"", 14.0], [""S"", ""p28"", 19.0], [""S"", ""p30"", 15.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
5;Dynamic sketch construction;7;7;1;1;235;33.57142857142857;6.75;0.9642857142857143;7;"[[""D"", ""p03"", 22.0], [""D"", ""p04"", 23.0], [""D"", ""p05"", 74.0], [""D"", ""p06"", 33.0], [""D"", ""p07"", 32.0], [""D"", ""p20"", 26.0], [""D"", ""p38"", 25.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 0.75]]"
5;Formula construction;7;7;1;1;237;33.857142857142854;6.25;0.8928571428571429;7;"[[""F"", ""p01"", 51.0], [""F"", ""p21"", 47.0], [""F"", ""p26"", 11.0], [""F"", ""p27"", 30.0], [""F"", ""p31"", 70.0], [""F"", ""p33"", 7.0], [""F"", ""p34"", 21.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.25], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
5;Static sketch construction;7;7;1;1;138;19.714285714285715;5.5;0.7857142857142857;7;"[[""S"", ""p02"", 46.0], [""S"", ""p09"", 9.0], [""S"", ""p11"", 9.0], [""S"", ""p14"", 14.0], [""S"", ""p15"", 15.0], [""S"", ""p28"", 27.0], [""S"", ""p30"", 18.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 0.25], [""S"", ""p15"", 0.25], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
6;Dynamic sketch construction;7;7;1;1;235;33.57142857142857;5.8;0.8285714285714286;7;"[[""D"", ""p03"", 16.0], [""D"", ""p04"", 23.0], [""D"", ""p05"", 44.0], [""D"", ""p06"", 27.0], [""D"", ""p07"", 33.0], [""D"", ""p20"", 66.0], [""D"", ""p38"", 26.0]]";7;"[[""D"", ""p03"", 0.8], [""D"", ""p04"", 0.8], [""D"", ""p05"", 1.0], [""D"", ""p06"", 0.8], [""D"", ""p07"", 0.8], [""D"", ""p20"", 0.8], [""D"", ""p38"", 0.8]]"
6;Formula construction;7;7;1;1;325;46.42857142857143;6.6;0.9428571428571428;7;"[[""F"", ""p01"", 64.0], [""F"", ""p21"", 36.0], [""F"", ""p26"", 33.0], [""F"", ""p27"", 24.0], [""F"", ""p31"", 120.0], [""F"", ""p33"", 11.0], [""F"", ""p34"", 37.0]]";7;"[[""F"", ""p01"", 0.8], [""F"", ""p21"", 0.8], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
6;Static sketch construction;7;7;1;1;194;27.714285714285715;6.0;0.8571428571428571;7;"[[""S"", ""p02"", 21.0], [""S"", ""p09"", 63.0], [""S"", ""p11"", 7.0], [""S"", ""p14"", 18.0], [""S"", ""p15"", 36.0], [""S"", ""p28"", 9.0], [""S"", ""p30"", 40.0]]";7;"[[""S"", ""p02"", 0.8], [""S"", ""p09"", 0.8], [""S"", ""p11"", 0.8], [""S"", ""p14"", 0.8], [""S"", ""p15"", 1.0], [""S"", ""p28"", 0.8], [""S"", ""p30"", 1.0]]"
7;Dynamic sketch construction;7;7;1;1;473;67.57142857142857;5.8888888888888875;0.8412698412698412;7;"[[""D"", ""p03"", 40.0], [""D"", ""p04"", 72.0], [""D"", ""p05"", 32.0], [""D"", ""p06"", 126.0], [""D"", ""p07"", 67.0], [""D"", ""p20"", 86.0], [""D"", ""p38"", 50.0]]";7;"[[""D"", ""p03"", 0.7777777777777778], [""D"", ""p04"", 0.8888888888888888], [""D"", ""p05"", 0.8888888888888888], [""D"", ""p06"", 0.8888888888888888], [""D"", ""p07"", 0.8888888888888888], [""D"", ""p20"", 0.7777777777777778], [""D"", ""p38"", 0.7777777777777778]]"
7;Formula construction;7;7;1;1;573;81.85714285714286;6.333333333333334;0.9047619047619048;7;"[[""F"", ""p01"", 99.0], [""F"", ""p21"", 85.0], [""F"", ""p26"", 36.0], [""F"", ""p27"", 90.0], [""F"", ""p31"", 150.0], [""F"", ""p33"", 23.0], [""F"", ""p34"", 90.0]]";7;"[[""F"", ""p01"", 0.8888888888888888], [""F"", ""p21"", 0.8888888888888888], [""F"", ""p26"", 1.0], [""F"", ""p27"", 0.8888888888888888], [""F"", ""p31"", 0.7777777777777778], [""F"", ""p33"", 1.0], [""F"", ""p34"", 0.8888888888888888]]"
7;Static sketch construction;7;7;1;1;631;90.14285714285714;4.111111111111111;0.5873015873015872;7;"[[""S"", ""p02"", 77.0], [""S"", ""p09"", 162.0], [""S"", ""p11"", 57.0], [""S"", ""p14"", 87.0], [""S"", ""p15"", 46.0], [""S"", ""p28"", 95.0], [""S"", ""p30"", 107.0]]";7;"[[""S"", ""p02"", 0.0], [""S"", ""p09"", 0.8888888888888888], [""S"", ""p11"", 0.0], [""S"", ""p14"", 0.6666666666666666], [""S"", ""p15"", 0.8888888888888888], [""S"", ""p28"", 0.6666666666666666], [""S"", ""p30"", 1.0]]"
8;Dynamic sketch construction;7;7;1;1;230;32.857142857142854;6.714285714285714;0.9591836734693878;7;"[[""D"", ""p03"", 39.0], [""D"", ""p04"", 8.0], [""D"", ""p05"", 27.0], [""D"", ""p06"", 70.0], [""D"", ""p07"", 30.0], [""D"", ""p20"", 7.0], [""D"", ""p38"", 49.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 0.8571428571428571], [""D"", ""p06"", 1.0], [""D"", ""p07"", 0.8571428571428571], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
