participant;task_id;group;TTU;DOU;structural_aspects;video_length_in_s;timestamp_where_participant_realizes;TTU_second_coder;DOU_second_coder;timestamp_where_participant_realizes_second_coder
p31;6;Formula construction;120;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;403.0;122.0;0.8;405.0
p34;6;Formula construction;37;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;175.0;36.0;1.0;173.0
p33;6;Formula construction;11;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;137.0;9.0;1.0;135.0
p26;6;Formula construction;33;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;260.0;31.0;1.0;258.0
p21;6;Formula construction;36;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;325.0;34.0;1.0;322.0
p27;6;Formula construction;24;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;204.0;25.0;1.0;206.0
p11;6;Static sketch construction;7;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;108.0;7.0;0.8;108.0
p30;6;Static sketch construction;40;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;167.0;37.0;1.0;164.0
p28;6;Static sketch construction;9;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;190.0;5.0;0.8;186.0
p09;6;Static sketch construction;63;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;221.0;10.0;0.8;169.0
p14;6;Static sketch construction;18;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;138.0;10.0;0.8;130.0
p15;6;Static sketch construction;36;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;169.0;8.0;1.0;143.0
p02;6;Static sketch construction;21;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;258.0;19.0;0.7;256.0
p03;6;Dynamic sketch construction;16;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;371.0;16.0;0.8;371.0
p05;6;Dynamic sketch construction;44;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;288.0;18.0;1.0;262.0
p04;6;Dynamic sketch construction;23;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;207.0;23.0;0.8;207.0
p20;6;Dynamic sketch construction;66;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;353.0;20.0;0.8;307.0
p07;6;Dynamic sketch construction;33;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;250.0;33.0;0.8;250.0
p38;6;Dynamic sketch construction;26;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;218.0;26.0;0.8;219.0
p06;6;Dynamic sketch construction;27;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;284.0;25.0;0.8;283.0
p01;7;Formula construction;99;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;558.0;96.0;0.8888888888888888;555.0
p31;7;Formula construction;150;0.7777777777777778;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;566.0;151.0;0.7222222222222222;566.0
p34;7;Formula construction;90;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;271.0;68.0;1.0;248.0
p33;7;Formula construction;23;1.0;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;161.0;22.0;1.0;160.0
p26;7;Formula construction;36;1.0;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;297.0;33.0;1.0;294.0
p21;7;Formula construction;85;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;410.0;93.0;0.9444444444444444;418.0
p27;7;Formula construction;90;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;300.0;83.0;1.0;293.0
p11;7;Static sketch construction;57;0.0;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;168.0;57.0;0.2222222222222222;168.0
p30;7;Static sketch construction;107;1.0;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;281.0;107.0;0.8888888888888888;281.0
p28;7;Static sketch construction;95;0.6666666666666666;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;310.0;57.0;0.7777777777777778;272.0
p09;7;Static sketch construction;162;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;413.0;146.0;0.7777777777777778;397.0
p14;7;Static sketch construction;87;0.6666666666666666;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;245.0;64.0;0.6111111111111112;223.0
p15;7;Static sketch construction;46;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;215.0;13.0;0.8888888888888888;183.0
p02;7;Static sketch construction;77;0.0;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;377.0;67.0;0.3333333333333333;367.0
p03;7;Dynamic sketch construction;40;0.7777777777777778;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;467.0;40.0;0.8888888888888888;468.0
p05;7;Dynamic sketch construction;32;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;325.0;37.0;1.0;330.0
p04;7;Dynamic sketch construction;72;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;303.0;71.0;0.8888888888888888;303.0
p20;7;Dynamic sketch construction;86;0.7777777777777778;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;454.0;86.0;0.7777777777777778;454.0
p07;7;Dynamic sketch construction;67;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;339.0;69.0;0.8888888888888888;341.0
p38;7;Dynamic sketch construction;50;0.7777777777777778;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;286.0;51.0;0.7777777777777778;286.0
p06;7;Dynamic sketch construction;126;0.8888888888888888;['COMP', 'RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];22;434.0;125.0;0.8888888888888888;433.0
p01;8;Formula construction;49;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;608.0;49.0;1.0;608.0
p31;8;Formula construction;25;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;595.0;23.0;0.8571428571428571;594.0
p34;8;Formula construction;38;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;313.0;34.0;1.0;308.0
p33;8;Formula construction;13;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;176.0;11.0;1.0;174.0
p26;8;Formula construction;24;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;323.0;25.0;1.0;323.0
p21;8;Formula construction;53;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;473.0;51.0;1.0;472.0
p27;8;Formula construction;41;0.42857142857142855;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;343.0;35.0;1.0;338.0
p11;8;Static sketch construction;14;0.7142857142857143;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;182.0;15.0;0.7142857142857143;183.0
p30;8;Static sketch construction;19;0.8571428571428571;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;304.0;19.0;1.0;304.0
p28;8;Static sketch construction;26;0.8571428571428571;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;336.0;30.0;1.0;330.0
p09;8;Static sketch construction;112;0.7142857142857143;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;533.0;97.0;0.7142857142857143;518.0
p14;8;Static sketch construction;21;0.7142857142857143;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;266.0;12.0;0.7142857142857143;255.0
